RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
*,*,*,757,Western Europe,Male,"[35,45[","[0,3[",65350,1,0,0,64540,0
*,*,*,623,Western Europe,Female,"[55,93[","[6,9[",71482,2,1,1,84421,0
*,*,*,550,Western Europe,Male,"[45,55[","[0,3[",0,2,1,1,97057,0
*,*,*,615,Western Europe,Male,"[55,93[","[6,9[",0,2,1,1,165577,0
*,*,*,598,Southern Europe,Female,"[35,45[","[6,9[",0,2,0,0,173783,0
*,*,*,437,Western Europe,Female,"[35,45[","[6,9[",0,1,1,0,148331,1
*,*,*,725,Western Europe,Male,"[45,55[","[0,3[",129855,1,0,0,24219,0
*,*,*,509,Western Europe,Female,"[25,35[","[0,3[",107713,2,1,1,92898,0
*,*,*,630,Western Europe,Male,"[55,93[","[0,3[",0,1,1,1,106202,1
*,*,*,550,Western Europe,Male,"[35,45[","[0,3[",113877,2,1,0,174922,0
*,*,*,808,Southern Europe,Male,"[25,35[","[6,9[",0,2,0,1,23180,0
*,*,*,664,Western Europe,Male,"[35,45[","[9,12[",0,2,1,0,194767,0
*,*,*,584,Western Europe,Male,"[45,55[","[6,9[",172713,1,1,0,113861,0
*,*,*,595,Western Europe,Female,"[25,35[","[9,12[",0,2,1,1,41448,0
*,*,*,555,Western Europe,Male,"[45,55[","[3,6[",142055,2,0,1,79135,0
*,*,*,542,Western Europe,Male,"[25,35[","[6,9[",142871,2,0,0,77738,0
*,*,*,720,Western Europe,Female,"[25,35[","[6,9[",106231,1,1,1,69904,1
*,*,*,850,Western Europe,Male,"[25,35[","[3,6[",0,2,1,0,121867,0
*,*,*,576,Western Europe,Female,"[25,35[","[3,6[",108541,1,1,1,126469,0
*,*,*,850,Southern Europe,Female,"[45,55[","[3,6[",174088,4,1,0,5669,1
*,*,*,808,Western Europe,Male,"[45,55[","[6,9[",118627,2,1,0,147132,0
*,*,*,678,Western Europe,Female,"[25,35[","[0,3[",0,2,1,0,45444,0
*,*,*,524,Western Europe,Female,"[35,45[","[9,12[",0,2,1,0,109615,0
*,*,*,651,Western Europe,Male,"[35,45[","[6,9[",0,2,1,0,13898,0
*,*,*,624,Southern Europe,Male,"[25,35[","[6,9[",66220,1,0,1,170819,0
*,*,*,523,Southern Europe,Male,"[25,35[","[6,9[",0,2,1,0,62030,0
*,*,*,653,Southern Europe,Male,"[55,93[","[6,9[",0,2,1,1,41967,0
*,*,*,661,Southern Europe,Female,"[35,45[","[3,6[",28083,1,1,0,69586,1
*,*,*,538,Western Europe,Male,"[25,35[","[0,3[",0,2,1,0,1375,0
*,*,*,697,Western Europe,Male,"[25,35[","[6,9[",141224,2,1,0,90591,0
*,*,*,651,Western Europe,Male,"[45,55[","[0,3[",0,1,1,0,67740,1
*,*,*,715,Western Europe,Female,"[25,35[","[3,6[",85228,1,1,1,68087,0
*,*,*,683,Western Europe,Male,"[55,93[","[3,6[",140997,1,0,1,52876,0
*,*,*,682,Western Europe,Female,"[25,35[","[0,3[",97893,1,1,0,166145,0
*,*,*,643,Western Europe,Male,"[35,45[","[6,9[",154903,1,1,1,49667,0
*,*,*,479,Southern Europe,Male,"[35,45[","[6,9[",118434,1,0,1,160061,0
*,*,*,756,Western Europe,Male,"[35,45[","[0,3[",124439,2,0,1,47093,0
*,*,*,733,Western Europe,Male,"[35,45[","[3,6[",91539,1,1,1,93783,0
*,*,*,669,*,*,*,*,0,2,1,*,176164,0
*,*,*,629,Western Europe,Female,"[45,55[","[6,9[",129818,3,1,0,9218,1
*,*,*,762,Western Europe,Male,"[25,35[","[6,9[",141389,1,1,0,54123,0
*,*,*,555,*,*,*,*,0,2,0,*,103901,0
*,*,*,819,Southern Europe,Female,"[25,35[","[6,9[",168253,1,1,1,102799,0
*,*,*,660,Western Europe,Male,"[45,55[","[0,3[",0,3,1,1,191849,1
*,*,*,602,*,*,*,*,141605,1,1,*,30380,0
*,*,*,575,Western Europe,Female,"[45,55[","[9,12[",68333,1,1,1,144391,0
*,*,*,640,Western Europe,Male,"[18,25[","[3,6[",72013,1,1,0,161333,0
